# Pathway lesson inventory by nursing tier (RN / PN·RPN / NP)
# Generated from getEffectiveCatalogLessonsForPathwaySync — same bundle + filters as public lesson hubs.
# Columns: topicSlug | bodySystem | slug | title | audienceTiers (if any)

========== RN ==========

--- ca-rn-nclex-rn (NCLEX-RN) — 146 lessons ---
antibiotics | Pharmacology / infection | med-family-antibiotics-gold | Antibiotics — nursing implications (NCLEX-RN, Canada)
cardiovascular | Cardiovascular | bp26-usnp-pad-000-safety_and_infection-cardiovascular | Integrated review: Cardiovascular (disease) #1 — FNP certification preparation (United States)
cardiovascular | Cardiovascular | bp26-usnp-pad-010-pharmacological_therapies-cardiovascular | Integrated review: Cardiovascular (disease) #11 — FNP certification preparation (United States)
cardiovascular | Cardiovascular | bp26-usnp-pad-020-psychosocial_integrity-cardiovascular | Integrated review: Cardiovascular (disease) #21 — FNP certification preparation (United States)
cardiovascular | Cardiovascular | bp26-usnp-pad-030-health_promotion_maintenance-cardiovascular | Integrated review: Cardiovascular (disease) #31 — FNP certification preparation (United States)
cardiovascular | Cardiovascular | bp26-usnp-pad-040-safety_and_infection-cardiovascular | Integrated review: Cardiovascular (disease) #41 — FNP certification preparation (United States)
cardiovascular | Cardiovascular | bp26-usnp-pad-050-pharmacological_therapies-cardiovascular | Integrated review: Cardiovascular (disease) #51 — FNP certification preparation (United States)
cardiovascular | Cardiovascular | bp26-usnp-pad-060-psychosocial_integrity-cardiovascular | Integrated review: Cardiovascular (disease) #61 — FNP certification preparation (United States)
cardiovascular | Cardiovascular | bp26-usnp-pad-070-health_promotion_maintenance-cardiovascular | Integrated review: Cardiovascular (disease) #71 — FNP certification preparation (United States)
cardiovascular | Cardiovascular | clinical-casebook-acs-chest-pain-gold | ACS case study — risk stratification & escalation (FNP, US)
cardiovascular | Cardiovascular | fnp-adult-hypertension-intensification | Adult hypertension: intensification and follow-up (FNP)
cardiovascular | Cardiovascular | med-family-cardiac-gold | Cardiac meds — rate/rhythm & ischemia themes (FNP, US)
cardiovascular | Cardiovascular | np-heart-failure-primary-care-gold | Heart failure: outpatient management (FNP, US)
cardiovascular | Cardiovascular / respiratory | pulmonary-embolism-recognition-gold | PE — recognition & escalation (FNP, US)
clinical-reasoning | General | fnp-differential-primary-care | Differential reasoning in primary care (FNP track)
clinical-reasoning | General | np-primary-care-foundations-gold | NP foundations: clinical reasoning, prevention, and primary-care judgment (US boards)
clinical-reasoning | General | np-travel-medicine-pretravel-gold | Travel medicine: pre-travel consult (FNP, US)
copd | Respiratory | copd-clinical-judgment-gold | COPD: primary care judgment (FNP, US)
delegation | General | canadian-rpn-scope-collaboration-gold | Team-based care with LPN/RPN support (FNP, US)
delegation | Safety / leadership | safety-family-delegation-supervision-gold | Delegation — NP vs RN scope in teams (FNP, US)
diabetes-meds | Endocrine | med-family-insulin-diabetes-gold | Diabetes meds — insulin titration & safety (FNP, US)
diabetes-metabolic | General | fnp-overlay-diabetes-metabolic | Diabetes & metabolic complications — NP overlay (FNP)
diabetes-metabolic | Endocrine | np-obesity-metabolic-management-gold | Obesity & metabolic risk: primary care (FNP, US)
diabetes-metabolic | Endocrine | np-type2-diabetes-outpatient-gold | Type 2 diabetes: outpatient management (FNP, US)
electrolytes-volume | General | fnp-overlay-electrolytes-volume | Electrolytes & volume — NP overlay (FNP)
endocrine | Endocrine | adrenal-crisis-addisonian-gold | Adrenal insufficiency — stress dosing themes (FNP, US)
endocrine | Endocrine | bp26-usnp-pad-004-psychosocial_integrity-endocrine | Integrated review: Endocrine (prioritization) #5 — FNP certification preparation (United States)
endocrine | Endocrine | bp26-usnp-pad-014-health_promotion_maintenance-endocrine | Integrated review: Endocrine (prioritization) #15 — FNP certification preparation (United States)
endocrine | Endocrine | bp26-usnp-pad-024-safety_and_infection-endocrine | Integrated review: Endocrine (prioritization) #25 — FNP certification preparation (United States)
endocrine | Endocrine | bp26-usnp-pad-034-pharmacological_therapies-endocrine | Integrated review: Endocrine (prioritization) #35 — FNP certification preparation (United States)
endocrine | Endocrine | bp26-usnp-pad-044-psychosocial_integrity-endocrine | Integrated review: Endocrine (prioritization) #45 — FNP certification preparation (United States)
endocrine | Endocrine | bp26-usnp-pad-054-health_promotion_maintenance-endocrine | Integrated review: Endocrine (prioritization) #55 — FNP certification preparation (United States)
endocrine | Endocrine | bp26-usnp-pad-064-safety_and_infection-endocrine | Integrated review: Endocrine (prioritization) #65 — FNP certification preparation (United States)
endocrine | Endocrine | bp26-usnp-pad-074-pharmacological_therapies-endocrine | Integrated review: Endocrine (prioritization) #75 — FNP certification preparation (United States)
endocrine | Endocrine / metabolic | clinical-casebook-glucose-dka-hypoglycemia-gold | Glucose emergency case study — DKA vs hypoglycemia (FNP, US)
endocrine | Endocrine / metabolic | dka-hhs-hyperglycemic-emergencies-gold | DKA & HHS — hyperglycemic emergencies (FNP, US)
endocrine | Endocrine | np-thyroid-primary-care-gold | Thyroid disorders: primary care (FNP, US)
endocrine | Endocrine | thyroid-storm-emergency-gold | Thyroid storm — stabilization themes (FNP, US)
fluids-electrolytes | Renal | bp26-usnp-pad-006-health_promotion_maintenance-fluids-electrolytes | Integrated review: Fluids & electrolytes (maternity) #7 — FNP certification preparation (United States)
fluids-electrolytes | Renal | bp26-usnp-pad-016-safety_and_infection-fluids-electrolytes | Integrated review: Fluids & electrolytes (maternity) #17 — FNP certification preparation (United States)
fluids-electrolytes | Renal | bp26-usnp-pad-026-pharmacological_therapies-fluids-electrolytes | Integrated review: Fluids & electrolytes (maternity) #27 — FNP certification preparation (United States)
fluids-electrolytes | Renal | bp26-usnp-pad-036-psychosocial_integrity-fluids-electrolytes | Integrated review: Fluids & electrolytes (maternity) #37 — FNP certification preparation (United States)
fluids-electrolytes | Renal | bp26-usnp-pad-046-health_promotion_maintenance-fluids-electrolytes | Integrated review: Fluids & electrolytes (maternity) #47 — FNP certification preparation (United States)
fluids-electrolytes | Renal | bp26-usnp-pad-056-safety_and_infection-fluids-electrolytes | Integrated review: Fluids & electrolytes (maternity) #57 — FNP certification preparation (United States)
fluids-electrolytes | Renal | bp26-usnp-pad-066-pharmacological_therapies-fluids-electrolytes | Integrated review: Fluids & electrolytes (maternity) #67 — FNP certification preparation (United States)
fluids-electrolytes | Renal | bp26-usnp-pad-076-psychosocial_integrity-fluids-electrolytes | Integrated review: Fluids & electrolytes (maternity) #77 — FNP certification preparation (United States)
fluids-electrolytes | Fluids & electrolytes | clinical-casebook-electrolyte-crisis-gold | Electrolyte crisis case study — K, Na, Ca (FNP, US)
fluids-electrolytes | Renal | fluids-electrolytes-emergencies-gold | Electrolyte crises: outpatient triage (FNP, US)
gastrointestinal | Gastrointestinal | bp26-usnp-pad-005-risk_reduction-gastrointestinal | Integrated review: GI (mental health) #6 — FNP certification preparation (United States)
gastrointestinal | Gastrointestinal | bp26-usnp-pad-015-basic_care_comfort-gastrointestinal | Integrated review: GI (mental health) #16 — FNP certification preparation (United States)
gastrointestinal | Gastrointestinal | bp26-usnp-pad-025-management_of_care-gastrointestinal | Integrated review: GI (mental health) #26 — FNP certification preparation (United States)
gastrointestinal | Gastrointestinal | bp26-usnp-pad-035-physiological_adaptation-gastrointestinal | Integrated review: GI (mental health) #36 — FNP certification preparation (United States)
gastrointestinal | Gastrointestinal | bp26-usnp-pad-045-risk_reduction-gastrointestinal | Integrated review: GI (mental health) #46 — FNP certification preparation (United States)
gastrointestinal | Gastrointestinal | bp26-usnp-pad-055-basic_care_comfort-gastrointestinal | Integrated review: GI (mental health) #56 — FNP certification preparation (United States)
gastrointestinal | Gastrointestinal | bp26-usnp-pad-065-management_of_care-gastrointestinal | Integrated review: GI (mental health) #66 — FNP certification preparation (United States)
gastrointestinal | Gastrointestinal | bp26-usnp-pad-075-physiological_adaptation-gastrointestinal | Integrated review: GI (mental health) #76 — FNP certification preparation (United States)
gastrointestinal | Gastrointestinal | upper-gi-bleed-prioritization-gold | Upper GI bleed — stabilization & referral (FNP, US)
geriatrics | Neurologic | fnp-geriatric-falls-syncope | Geriatric falls and syncope: medication and rhythm (FNP)
geriatrics | General | np-geriatrics-polypharmacy-deprescribing-gold | Polypharmacy & deprescribing (FNP, US)
heart-failure | General | fnp-overlay-heart-failure | Heart failure — NP diagnosis & management (FNP)
hypertension | Cardiovascular | med-family-antihypertensives-gold | Hypertension meds — titration & follow-up (FNP, US)
infection-control | Infection | bp26-usnp-pad-007-basic_care_comfort-infection-control | Integrated review: Infection (pediatrics) #8 — FNP certification preparation (United States)
infection-control | Infection | bp26-usnp-pad-017-management_of_care-infection-control | Integrated review: Infection (pediatrics) #18 — FNP certification preparation (United States)
infection-control | Infection | bp26-usnp-pad-027-physiological_adaptation-infection-control | Integrated review: Infection (pediatrics) #28 — FNP certification preparation (United States)
infection-control | Infection | bp26-usnp-pad-037-risk_reduction-infection-control | Integrated review: Infection (pediatrics) #38 — FNP certification preparation (United States)
infection-control | Infection | bp26-usnp-pad-047-basic_care_comfort-infection-control | Integrated review: Infection (pediatrics) #48 — FNP certification preparation (United States)
infection-control | Infection | bp26-usnp-pad-057-management_of_care-infection-control | Integrated review: Infection (pediatrics) #58 — FNP certification preparation (United States)
infection-control | Infection | bp26-usnp-pad-067-physiological_adaptation-infection-control | Integrated review: Infection (pediatrics) #68 — FNP certification preparation (United States)
infection-control | Infection | bp26-usnp-pad-077-risk_reduction-infection-control | Integrated review: Infection (pediatrics) #78 — FNP certification preparation (United States)
infection-control | Safety / infection prevention | safety-family-infection-control-gold | Infection prevention — PPE & exposure workup (FNP, US)
infection-control | Safety / infection prevention | safety-family-isolation-precautions-gold | Isolation — indication & discontinuation themes (FNP, US)
infectious-disease | Infectious disease | np-antiinfectives-stewardship-outpatient-gold | Anti-infectives & stewardship (FNP, US)
maternity | Maternity | clinical-casebook-maternal-newborn-emergency-gold | Maternal emergency case study — bleeding & preeclampsia (FNP, US)
medication-safety | General | bp26-usnp-pad-008-safety_and_infection-medication-safety | Integrated review: Medication safety (procedures) #9 — FNP certification preparation (United States)
medication-safety | General | bp26-usnp-pad-018-pharmacological_therapies-medication-safety | Integrated review: Medication safety (procedures) #19 — FNP certification preparation (United States)
medication-safety | General | bp26-usnp-pad-028-psychosocial_integrity-medication-safety | Integrated review: Medication safety (procedures) #29 — FNP certification preparation (United States)
medication-safety | General | bp26-usnp-pad-038-health_promotion_maintenance-medication-safety | Integrated review: Medication safety (procedures) #39 — FNP certification preparation (United States)
medication-safety | General | bp26-usnp-pad-048-safety_and_infection-medication-safety | Integrated review: Medication safety (procedures) #49 — FNP certification preparation (United States)
medication-safety | General | bp26-usnp-pad-058-pharmacological_therapies-medication-safety | Integrated review: Medication safety (procedures) #59 — FNP certification preparation (United States)
medication-safety | General | bp26-usnp-pad-068-psychosocial_integrity-medication-safety | Integrated review: Medication safety (procedures) #69 — FNP certification preparation (United States)
medication-safety | Pharmacology | high-alert-medications-safety-gold | High-alert meds: prescribing & monitoring (FNP, US)
medication-safety | Safety / pharmacology | safety-family-medication-administration-gold | Med admin — reconciliation & e-prescribing safety (FNP, US)
mental-health | Mental health / safety | clinical-casebook-mental-health-safety-gold | Mental health case study — suicide risk & safety planning (FNP, US)
mental-health | Mental health / neurology | med-family-psychotropic-gold | Psychotropics — titration, EPS, & metabolic monitoring (FNP, US)
mental-health | Psychiatric | np-mental-health-anxiety-depression-ptsd-gold | Anxiety, depression & PTSD (FNP, US)
musculoskeletal | Musculoskeletal | np-msk-rheumatology-outpatient-gold | MSK & rheumatology: outpatient care (FNP, US)
myocardial-infarction | General | fnp-overlay-myocardial-infarction | MI / ACS — NP overlay (FNP)
neurological | Neurological / geriatrics | delirium-acute-confusion-gold | Delirium — causes & safety planning (FNP, US)
neurological | Neurological / infection | meningitis-emergency-recognition-gold | Meningitis — ED referral & precautions (FNP, US)
neurological | Neurological | np-neurology-outpatient-primary-care-gold | Outpatient neurology triage (FNP, US)
neurological | Neurological | stroke-increased-icp-gold | TIA & stroke red flags in ambulatory care (FNP, US)
np-differential-prescribing-chronic | General | fnp-overlay-np-differential-prescribing-chronic | Differential, prescribing & chronic care — NP core (FNP)
pain | Pain / perioperative | med-family-pain-sedation-gold | Pain & sedation — multimodal & opioid risk (FNP, US)
pediatrics | Pediatrics | clinical-casebook-pediatric-fever-dehydration-gold | Pediatric fever case study — dehydration & sepsis (FNP, US)
pediatrics | General | fnp-pediatric-fever-urgency | Pediatric fever: risk stratification without over-testing (FNP)
pediatrics | Immune | np-immunization-vaccines-primary-care-gold | Immunization & vaccines (FNP, US)
pediatrics | General | np-pediatric-well-child-prevention-gold | Pediatric well-child & prevention (FNP, US)
pharmacology | Pharmacology / neuro | opioid-toxicity-naloxone-gold | Opioid risk — monitoring & reversal themes (FNP, US)
pneumonia | Respiratory / infection | pneumonia-cap-nursing-gold | Pneumonia — outpatient versus inpatient framing (FNP, US)
prioritization | Safety / clinical judgment | safety-family-prioritization-uncertainty-gold | Uncertainty — differential breadth & safety netting (FNP, US)
prioritization-delegation | General | bp26-usnp-pad-009-management_of_care-prioritization-delegation | Integrated review: Clinical judgment (case study) #10 — FNP certification preparation (United States)
prioritization-delegation | General | bp26-usnp-pad-019-physiological_adaptation-prioritization-delegation | Integrated review: Clinical judgment (case study) #20 — FNP certification preparation (United States)
prioritization-delegation | General | bp26-usnp-pad-029-risk_reduction-prioritization-delegation | Integrated review: Clinical judgment (case study) #30 — FNP certification preparation (United States)
prioritization-delegation | General | bp26-usnp-pad-039-basic_care_comfort-prioritization-delegation | Integrated review: Clinical judgment (case study) #40 — FNP certification preparation (United States)
prioritization-delegation | General | bp26-usnp-pad-049-management_of_care-prioritization-delegation | Integrated review: Clinical judgment (case study) #50 — FNP certification preparation (United States)
prioritization-delegation | General | bp26-usnp-pad-059-physiological_adaptation-prioritization-delegation | Integrated review: Clinical judgment (case study) #60 — FNP certification preparation (United States)
prioritization-delegation | General | bp26-usnp-pad-069-risk_reduction-prioritization-delegation | Integrated review: Clinical judgment (case study) #70 — FNP certification preparation (United States)
prioritization-delegation | General | bp26-usnp-x027-first-day-admissions-data-collection-ord | First-day admissions: data collection order — FNP certification preparation (United States)
prioritization-delegation | General | bp26-usnp-x028-rapid-response-activation-criteria | Rapid response activation criteria — FNP certification preparation (United States)
prioritization-delegation | General | bp26-usnp-x029-overflow-unit-prioritization | Overflow unit prioritization — FNP certification preparation (United States)
prioritization-delegation | General | bp26-usnp-x030-chronic-disease-self-management-coaching | Chronic disease self-management coaching — FNP certification preparation (United States)
prioritization-delegation | General | bp26-usnp-x031-health-literacy-teach-back | Health literacy & teach-back — FNP certification preparation (United States)
prioritization-delegation | General | bp26-usnp-x032-social-determinants-screening | Social determinants screening — FNP certification preparation (United States)
prioritization-delegation | General | clinical-judgment-prioritization-gold | Clinical judgment in ambulatory care (FNP, US)
prioritization-delegation | Leadership / safety | nurse-patient-assignment-acuity-gold | Acuity — supervision & handoff themes (FNP, US)
renal-gu | Renal | acute-kidney-injury-nursing-gold | AKI — drug & perfusion review (FNP, US)
renal-gu | Renal | bp26-usnp-pad-003-physiological_adaptation-renal-gu | Integrated review: Renal (safety) #4 — FNP certification preparation (United States)
renal-gu | Renal | bp26-usnp-pad-013-risk_reduction-renal-gu | Integrated review: Renal (safety) #14 — FNP certification preparation (United States)
renal-gu | Renal | bp26-usnp-pad-023-basic_care_comfort-renal-gu | Integrated review: Renal (safety) #24 — FNP certification preparation (United States)
renal-gu | Renal | bp26-usnp-pad-033-management_of_care-renal-gu | Integrated review: Renal (safety) #34 — FNP certification preparation (United States)
renal-gu | Renal | bp26-usnp-pad-043-physiological_adaptation-renal-gu | Integrated review: Renal (safety) #44 — FNP certification preparation (United States)
renal-gu | Renal | bp26-usnp-pad-053-risk_reduction-renal-gu | Integrated review: Renal (safety) #54 — FNP certification preparation (United States)
renal-gu | Renal | bp26-usnp-pad-063-basic_care_comfort-renal-gu | Integrated review: Renal (safety) #64 — FNP certification preparation (United States)
renal-gu | Renal | bp26-usnp-pad-073-management_of_care-renal-gu | Integrated review: Renal (safety) #74 — FNP certification preparation (United States)
respiratory | Respiratory | ards-acute-respiratory-failure-gold | ARDS — oxygenation & escalation themes (FNP, US)
respiratory | Respiratory | bp26-usnp-pad-001-management_of_care-respiratory | Integrated review: Respiratory (labs) #2 — FNP certification preparation (United States)
respiratory | Respiratory | bp26-usnp-pad-011-physiological_adaptation-respiratory | Integrated review: Respiratory (labs) #12 — FNP certification preparation (United States)
respiratory | Respiratory | bp26-usnp-pad-021-risk_reduction-respiratory | Integrated review: Respiratory (labs) #22 — FNP certification preparation (United States)
respiratory | Respiratory | bp26-usnp-pad-031-basic_care_comfort-respiratory | Integrated review: Respiratory (labs) #32 — FNP certification preparation (United States)
respiratory | Respiratory | bp26-usnp-pad-041-management_of_care-respiratory | Integrated review: Respiratory (labs) #42 — FNP certification preparation (United States)
respiratory | Respiratory | bp26-usnp-pad-051-physiological_adaptation-respiratory | Integrated review: Respiratory (labs) #52 — FNP certification preparation (United States)
respiratory | Respiratory | bp26-usnp-pad-061-risk_reduction-respiratory | Integrated review: Respiratory (labs) #62 — FNP certification preparation (United States)
respiratory | Respiratory | bp26-usnp-pad-071-basic_care_comfort-respiratory | Integrated review: Respiratory (labs) #72 — FNP certification preparation (United States)
respiratory | Respiratory | clinical-casebook-respiratory-distress-gold | Respiratory distress case study — oxygen & escalation (FNP, US)
respiratory | Respiratory / pulmonary | med-family-respiratory-gold | Respiratory meds — inhaler technique & escalation (FNP, US)
respiratory | Respiratory | np-asthma-outpatient-gold | Asthma: outpatient management (FNP, US)
respiratory-acute | General | fnp-overlay-respiratory-acute | COPD, asthma, ARDS, pneumonia, PE — NP respiratory overlay (FNP)
respiratory-acute | Respiratory | np-pneumonia-cap-outpatient-gold | Community-acquired pneumonia: outpatient judgment (FNP, US)
safety | Safety / mobility | falls-injury-prevention-gold | Fall risk — screening & safety planning (FNP, US)
safety | Safety / communication | safety-family-escalation-notification-gold | Escalation — urgent comms & safety netting (FNP, US)
safety | Safety / geriatrics | safety-family-falls-prevention-gold | Falls — risk assessment & bone health (FNP, US)
safety | Safety / ethics | safety-family-restraints-alternatives-gold | Restraints — indications & monitoring (FNP, US)
sepsis | Infection / shock | clinical-casebook-sepsis-rapid-response-gold | Sepsis case study — escalation & bundle themes (FNP, US)
sepsis | Infection / sepsis | sepsis-early-recognition-gold | Sepsis risk & escalation (FNP, US)
sepsis-infection | General | fnp-overlay-sepsis-infection | Sepsis & infection control — NP overlay (FNP)
shock | General | fnp-overlay-shock | Shock — NP resuscitation reasoning (FNP)
shock | Emergency / resuscitation | med-family-emergency-response-gold | Emergency meds — ACLS-adjacent themes & safety (FNP, US)
shock | Cardiovascular | shock-emergencies-gold | Shock risk & escalation in ambulatory settings (FNP, US)
sleep-medicine | Neurological | np-sleep-insomnia-osa-primary-care-gold | Sleep: insomnia, OSA & RLS (FNP, US)
womens-health | Hematologic | fnp-womens-prenatal-anemia-workup | Prenatal anemia: interpretation and escalation (FNP)
womens-health | Reproductive | np-ambulatory-gynec-common-presentations-gold | Ambulatory gynec: common presentations (FNP, US)
womens-health | Reproductive | np-contraception-counseling-selection-gold | Contraception: counseling & selection (FNP, US)
womens-health | Reproductive | np-reproductive-screening-prevention-gold | Reproductive screening & prevention (FNP, US)

--- us-np-pmhnp (PMHNP) — 47 lessons ---
antibiotics | Pharmacology / infection | med-family-antibiotics-gold | Antibiotics — selection themes & safety counseling (PMHNP, US)
anticoagulation | Hematology / cardiovascular | med-family-anticoagulants-gold | Anticoagulation — risk, reversal themes, & counseling (PMHNP, US)
cardiovascular | Cardiovascular | acute-coronary-syndrome-gold | Chest pain triage in primary care (PMHNP, US)
cardiovascular | Cardiovascular | atrial-fibrillation-stroke-prevention-gold | AFib — stroke prevention & anticoagulation themes (PMHNP, US)
cardiovascular | Cardiovascular | clinical-casebook-acs-chest-pain-gold | ACS case study — risk stratification & escalation (PMHNP, US)
cardiovascular | Cardiovascular | med-family-cardiac-gold | Cardiac meds — rate/rhythm & ischemia themes (PMHNP, US)
cardiovascular | Cardiovascular / respiratory | pulmonary-embolism-recognition-gold | PE — recognition & escalation (PMHNP, US)
delegation | General | canadian-rpn-scope-collaboration-gold | Team-based care with LPN/RPN support (PMHNP, US)
delegation | Safety / leadership | safety-family-delegation-supervision-gold | Delegation — NP vs RN scope in teams (PMHNP, US)
diabetes-meds | Endocrine | med-family-insulin-diabetes-gold | Diabetes meds — insulin titration & safety (PMHNP, US)
endocrine | Endocrine | adrenal-crisis-addisonian-gold | Adrenal insufficiency — stress dosing themes (PMHNP, US)
endocrine | Endocrine / metabolic | clinical-casebook-glucose-dka-hypoglycemia-gold | Glucose emergency case study — DKA vs hypoglycemia (PMHNP, US)
endocrine | Endocrine / metabolic | dka-hhs-hyperglycemic-emergencies-gold | DKA & HHS — hyperglycemic emergencies (PMHNP, US)
endocrine | Endocrine | thyroid-storm-emergency-gold | Thyroid storm — stabilization themes (PMHNP, US)
fluids-electrolytes | Fluids & electrolytes | clinical-casebook-electrolyte-crisis-gold | Electrolyte crisis case study — K, Na, Ca (PMHNP, US)
fluids-electrolytes | Renal | fluids-electrolytes-emergencies-gold | Electrolyte crises: outpatient triage (PMHNP, US)
gastrointestinal | Gastrointestinal | upper-gi-bleed-prioritization-gold | Upper GI bleed — stabilization & referral (PMHNP, US)
hypertension | Cardiovascular | med-family-antihypertensives-gold | Hypertension meds — titration & follow-up (PMHNP, US)
infection-control | Safety / infection prevention | safety-family-infection-control-gold | Infection prevention — PPE & exposure workup (PMHNP, US)
infection-control | Safety / infection prevention | safety-family-isolation-precautions-gold | Isolation — indication & discontinuation themes (PMHNP, US)
maternity | Maternity | clinical-casebook-maternal-newborn-emergency-gold | Maternal emergency case study — bleeding & preeclampsia (PMHNP, US)
medication-safety | Pharmacology | high-alert-medications-safety-gold | High-alert meds: prescribing & monitoring (PMHNP, US)
medication-safety | Safety / pharmacology | safety-family-medication-administration-gold | Med admin — reconciliation & e-prescribing safety (PMHNP, US)
mental-health | Mental health / safety | clinical-casebook-mental-health-safety-gold | Mental health case study — suicide risk & safety planning (PMHNP, US)
mental-health | Mental health / neurology | med-family-psychotropic-gold | Psychotropics — titration, EPS, & metabolic monitoring (PMHNP, US)
neurological | Neurological / geriatrics | delirium-acute-confusion-gold | Delirium — causes & safety planning (PMHNP, US)
neurological | Neurological / infection | meningitis-emergency-recognition-gold | Meningitis — ED referral & precautions (PMHNP, US)
neurological | Neurological | stroke-increased-icp-gold | TIA & stroke red flags in ambulatory care (PMHNP, US)
pain | Pain / perioperative | med-family-pain-sedation-gold | Pain & sedation — multimodal & opioid risk (PMHNP, US)
pediatrics | Pediatrics | clinical-casebook-pediatric-fever-dehydration-gold | Pediatric fever case study — dehydration & sepsis (PMHNP, US)
pharmacology | Pharmacology / neuro | opioid-toxicity-naloxone-gold | Opioid risk — monitoring & reversal themes (PMHNP, US)
pneumonia | Respiratory / infection | pneumonia-cap-nursing-gold | Pneumonia — outpatient versus inpatient framing (PMHNP, US)
prioritization | Safety / clinical judgment | safety-family-prioritization-uncertainty-gold | Uncertainty — differential breadth & safety netting (PMHNP, US)
prioritization-delegation | General | clinical-judgment-prioritization-gold | Clinical judgment in ambulatory care (PMHNP, US)
prioritization-delegation | Leadership / safety | nurse-patient-assignment-acuity-gold | Acuity — supervision & handoff themes (PMHNP, US)
renal-gu | Renal | acute-kidney-injury-nursing-gold | AKI — drug & perfusion review (PMHNP, US)
respiratory | Respiratory | ards-acute-respiratory-failure-gold | ARDS — oxygenation & escalation themes (PMHNP, US)
respiratory | Respiratory | clinical-casebook-respiratory-distress-gold | Respiratory distress case study — oxygen & escalation (PMHNP, US)
respiratory | Respiratory / pulmonary | med-family-respiratory-gold | Respiratory meds — inhaler technique & escalation (PMHNP, US)
safety | Safety / mobility | falls-injury-prevention-gold | Fall risk — screening & safety planning (PMHNP, US)
safety | Safety / communication | safety-family-escalation-notification-gold | Escalation — urgent comms & safety netting (PMHNP, US)
safety | Safety / geriatrics | safety-family-falls-prevention-gold | Falls — risk assessment & bone health (PMHNP, US)
safety | Safety / ethics | safety-family-restraints-alternatives-gold | Restraints — indications & monitoring (PMHNP, US)
sepsis | Infection / shock | clinical-casebook-sepsis-rapid-response-gold | Sepsis case study — escalation & bundle themes (PMHNP, US)
sepsis | Infection / sepsis | sepsis-early-recognition-gold | Sepsis risk & escalation (PMHNP, US)
shock | Emergency / resuscitation | med-family-emergency-response-gold | Emergency meds — ACLS-adjacent themes & safety (PMHNP, US)
shock | Cardiovascular | shock-emergencies-gold | Shock risk & escalation in ambulatory settings (PMHNP, US)

--- us-np-pnp-pc (PNP-PC) — 21 lessons ---
cardiovascular | Cardiovascular | acute-coronary-syndrome-gold | Chest pain triage in primary care (PNP-PC, US)
cardiovascular | Cardiovascular | np-heart-failure-primary-care-gold | Heart failure: outpatient management (PNP-PC, US)
clinical-reasoning | General | np-primary-care-foundations-gold | NP foundations: clinical reasoning, prevention, and primary-care judgment (US boards)
clinical-reasoning | General | np-travel-medicine-pretravel-gold | Travel medicine: pre-travel consult (PNP-PC, US)
copd | Respiratory | copd-clinical-judgment-gold | COPD: primary care judgment (PNP-PC, US)
diabetes-metabolic | Endocrine | np-obesity-metabolic-management-gold | Obesity & metabolic risk: primary care (PNP-PC, US)
diabetes-metabolic | Endocrine | np-type2-diabetes-outpatient-gold | Type 2 diabetes: outpatient management (PNP-PC, US)
endocrine | Endocrine | np-thyroid-primary-care-gold | Thyroid disorders: primary care (PNP-PC, US)
geriatrics | General | np-geriatrics-polypharmacy-deprescribing-gold | Polypharmacy & deprescribing (PNP-PC, US — pediatric primary care cross-age awareness)
infectious-disease | Infectious disease | np-antiinfectives-stewardship-outpatient-gold | Anti-infectives & stewardship (PNP-PC, US)
mental-health | Psychiatric | np-mental-health-anxiety-depression-ptsd-gold | Anxiety, depression & PTSD (PNP-PC, US)
musculoskeletal | Musculoskeletal | np-msk-rheumatology-outpatient-gold | MSK & rheumatology: outpatient care (PNP-PC, US)
neurological | Neurological | np-neurology-outpatient-primary-care-gold | Outpatient neurology triage (PNP-PC, US)
pediatrics | Immune | np-immunization-vaccines-primary-care-gold | Immunization & vaccines (PNP-PC, US)
pediatrics | General | np-pediatric-well-child-prevention-gold | Pediatric well-child & prevention (PNP-PC, US)
respiratory | Respiratory | np-asthma-outpatient-gold | Asthma: outpatient management (PNP-PC, US)
respiratory-acute | Respiratory | np-pneumonia-cap-outpatient-gold | Community-acquired pneumonia: outpatient judgment (PNP-PC, US)
sleep-medicine | Neurological | np-sleep-insomnia-osa-primary-care-gold | Sleep: insomnia, OSA & RLS (PNP-PC, US)
womens-health | Reproductive | np-ambulatory-gynec-common-presentations-gold | Ambulatory gynec: common presentations (PNP-PC, US)
womens-health | Reproductive | np-contraception-counseling-selection-gold | Contraception: counseling & selection (PNP-PC, US)
womens-health | Reproductive | np-reproductive-screening-prevention-gold | Reproductive screening & prevention (PNP-PC, US)

--- us-np-whnp (WHNP) — 20 lessons ---
cardiovascular | Cardiovascular | acute-coronary-syndrome-gold | Chest pain triage in primary care (WHNP, US)
cardiovascular | Cardiovascular | np-heart-failure-primary-care-gold | Heart failure: outpatient management (WHNP, US)
clinical-reasoning | General | np-primary-care-foundations-gold | NP foundations: clinical reasoning, prevention, and primary-care judgment (US boards)
clinical-reasoning | General | np-travel-medicine-pretravel-gold | Travel medicine: pre-travel consult (WHNP, US)
copd | Respiratory | copd-clinical-judgment-gold | COPD: primary care judgment (WHNP, US)
diabetes-metabolic | Endocrine | np-obesity-metabolic-management-gold | Obesity & metabolic risk: primary care (WHNP, US)
diabetes-metabolic | Endocrine | np-type2-diabetes-outpatient-gold | Type 2 diabetes: outpatient management (WHNP, US)
